Date,Exercise,Weight (lbs),Reps,Sets,Estimated 1RM,Notes
2026-05-04,Single Arm Lat Pulldown,85,7,1,104,Target: 8 reps next week
2026-05-04,Close Grip Lat Pulldown,160,9,1,203,
2026-05-04,Pec Deck Rear Delt Fly,90,8,1,108,
2026-05-04,Single Arm Preacher Curl,35,8,1,42,
2026-05-04,Single Arm Low Row,60,8,1,72,
2026-05-04,Single Arm Row Machine,160,7,1,195,
2026-05-04,Trap Shrugs (Row Machine),160,5,1,181,Form breakdown - drop weight next time
2026-05-05,Ab Crunches,55,9,1,,
2026-05-05,Oblique Crunches,30,7,1,,
2026-05-05,Leg Press,280,10,1,373,
2026-05-05,Leg Press Calf Raises,325,9,1,,
2026-05-05,Hamstring Curls,190,6,1,224,
2026-05-06,Shoulder Press,100,7,1,123,Up from 100x6 last time - target hit
2026-05-06,Cable Lateral Raise,14,10,1,,Up from 14x7 last time - big jump
2026-05-06,Cable Incline Fly,34,9,1,,Up from 32.5 last week
2026-05-06,Cable Flat Fly,34,8,1,,
2026-05-06,Bench Supported Cable Tricep Pushdown,77.5,8,1,,Up from 72.5 last week
2026-05-06,Overhead Tricep Extension,57.5,9,1,,
2026-05-07,Single Arm Lat Pulldown,85,11,1,117,Up from 85x7 - massive 4-rep jump
2026-05-07,Close Grip Lat Pulldown,165,9,1,209,Up from 160x9 - weight increase same reps
2026-05-07,Pec Deck Rear Delt Fly,90,10,1,120,Up from 90x8 - 2 rep increase
2026-05-07,Single Arm Preacher Curl,35,10,1,47,Up from 35x8 - last 2 reps slightly sloppy
2026-05-07,Single Arm Low Row,60,11,1,80,Up from 60x8 - 10 clean + 1 sloppy
2026-05-07,Incline Preacher Curl (Lat Pulldown Seat),35,10,1,,New exercise - baseline
2026-05-07,Single Arm Row Machine,160,7,1,195,Same as last week - no progress
2026-05-07,Trap Shrugs (Row Machine),160,8,1,200,Up from 160x5 sloppy - clean form this time
2026-05-08,Ab Crunches,60,9,1,,Up from 55x9 - weight increase
2026-05-08,Oblique Crunches,30,8,1,,Up from 30x7 - +1 rep
2026-05-08,Leg Press,290,10,1,387,Up from 280x10 - +10 lbs same reps
2026-05-08,Leg Press,300,8,1,378,Second set - pushed weight up. 8-9 reps (lost count)
2026-05-08,Leg Press Calf Raises,325,10,1,,Up from 325x9 - +1 rep
2026-05-10,Shoulder Press,100,9,1,126,Up from 100x7 - +2 reps
2026-05-10,Cable Lateral Raise,15,10,1,,Up from 14x10 - +1 lb same reps
2026-05-10,Cable Lateral Raise,15,11,1,,Second set - even stronger
2026-05-10,Cable Incline Fly,35.5,9,1,,Up from 34x9 - +1.5 lbs same reps
2026-05-10,Bench Supported Cable Tricep Pushdown,79,8,1,,Up from 77.5x8 - +1.5 lbs same reps. 1 RIR
2026-05-10,Overhead Tricep Extension,59,10,1,,Up from 57.5x9 - +1.5 lbs +1 rep
2026-05-11,Single Arm Lat Pulldown,90,9,1,117,Up from 85x11 - +5 lbs
2026-05-11,Close Grip Lat Pulldown,170,10,1,227,Up from 165x9 - +5 lbs +1 rep
2026-05-11,Pec Deck Rear Delt Fly,95,8,1,120,Up from 90x10 - +5 lbs
2026-05-11,Single Arm Low Row,65,8,1,78,Up from 60x11 - +5 lbs
2026-05-11,Single Arm Preacher Curl,35,10,1,47,Matched 35x10
2026-05-11,Incline Preacher Curl (Lat Pulldown Seat),35,10,1,,Matched 35x10
2026-05-11,Trap Shrugs (Row Machine),165,10,1,,Up from 160x8 - +5 lbs +2 reps
2026-05-12,Ab Crunches,65,10,1,,Up from 60x9 - +5 lbs +1 rep
2026-05-12,Oblique Crunches,35,7,1,,Up from 30x8 - +5 lbs
2026-05-12,Leg Press,310,10,1,413,Up from 290x10 - +20 lbs same reps
